 UNKNOWN: 0, SYSTEMCALL: 0, USERMODE: 0, BLOCKED_IO: 0, BLOCKED_CPU: 0, BLOCKED_WAITKERNEL: 0,BLOCKED_WAITPROCESS: 0, BLOCKED_FOR_FUTEX: 0, BLOCKED_CPU_FUTEX: 0, TRASH: 0
0,1172008,18625889,0,70364777,0,10150245,0,0,0
0,1421507,19928504,0,60288907,0,32446920,0,0,0
0,1369876,21378813,0,80791837,0,23183261,0,0,0
0,1213326,18287324,0,81740197,0,22192790,0,0,0
0,1589226,21294745,0,66828044,0,29316399,0,0,0
0,1290424,20474678,0,114755934,0,12649572,0,0,0
0,1259924,20098325,0,90237534,0,16473923,0,0,0
0,1429766,20431661,0,124096165,0,19551969,0,0,0
0,1250887,18736725,0,57164124,0,18026608,0,0,0
0,1093029,16945538,0,30145793,0,11620255,0,0,0
0,1231483,17587526,0,32938184,0,15574257,0,0,0
0,1458781,20586449,0,33602092,0,37133242,0,0,0
0,1210402,19803977,0,49678651,0,9651288,0,0,0
0,1434856,20305136,0,95628460,51176,23810015,0,0,0
0,1319820,20354265,0,61507251,0,32970057,0,0,0
0,1505345,21795380,0,74727120,0,14362794,0,0,0
0,1351884,20647209,0,56588226,0,12734659,0,0,0
0,1368109,19271606,0,20955164,0,28118636,0,0,0
0,1417365,19942382,0,69015731,0,15722177,0,0,0
0,1286567,18747294,0,84585652,0,17016912,0,0,0
0,1627419,22710386,0,70705609,0,26652685,0,0,0
0,1386651,20459779,0,153896675,0,19216308,0,0,0
0,1594732,20488750,0,105555949,0,23674965,0,0,0
0,1418285,20500367,0,48430912,0,12201974,0,0,0
0,1432265,20046400,0,55885844,0,14520026,0,0,0
0,1349536,19796229,0,63516501,0,20005477,0,0,0
0,1732246,20846798,0,66950806,50811,41903302,0,0,0
0,1770456,21138395,0,76836427,0,17241516,0,0,0
0,1338365,20284970,0,70636452,0,15791428,0,0,0
0,1594579,20862958,0,134753411,0,9756876,0,0,0
0,1538901,21213942,0,144035004,0,19445799,0,0,0
0,1418712,20036486,0,39203015,0,25423035,0,0,0
0,1292859,20350373,0,34303137,0,18889452,0,0,0
0,1443055,20375038,0,155967501,0,23518417,0,0,0
0,1440086,20026407,0,50368567,0,55094670,0,0,0
0,1455764,19370933,0,42851193,0,34360517,0,0,0
